phase,run_id,status,scope,environment_id,seed,config_sha256,code_sha256,input_sha256,actual_tokens,elapsed_seconds,peak_memory_bytes,evidence_paths,failure_or_skip_reason,next_action,actual_command
P2,cpu_fixture_audit_02,passed_fixture_only,cpu_debug_preflight,3c50b28adae72d67,see smoke input/environment and code,7f67f859522f42ff5242671c69f4e971cad8ccf760ac78248780282136f550f0,e46a0c157154be20ff1d6314fd29c5e42c962bb179eea5292ae93a77a5f8e268,815194b8b5795ba1238484e20531052c30cbfeecf6e1f13074d3e3f12d356e50,21755,33.479687213897705,1281916928,experiment_v1_4/smoke/cpu_fixture_audit_02/smoke.json;experiment_v1_4/results/audit_20260920_02/REPORT.md,Frozen corpus/config absent; full tests 15 passed / 3 failed; P1/P2 incomplete,Complete corrected P1 independent audit and frozen-input CPU smoke,/opt/anaconda3/bin/python -m interp_v1_4.smoke --device cpu --fixture-only --output experiment_v1_4/smoke/cpu_fixture_audit_02
P1,rebuild_01_full_audit_20260921,passed,cpu_corpus,3c50b28adae72d67,versioned namespaces; see evidence,e9218ae1179df2922453e2c60288a6aae883cecd4f72bbfde1bdc9bdee58bd73,7d70cadf575f03f63e1305977a369446767b42719f5a8f3d749678c00a8937b9,9258ef6dbd0af0ca1893836bde8226000c06c52e5f98f9bfa6e0b312b566df97,64005751,,,experiment_v1_4/results/audit_20260921_01/completion.json,GPU smoke and P3 not run,GPU smoke and P3 reporting completion before production approval,python scripts/audit_v1_4_completed.py; python scripts/audit_v1_4_attempts.py; python scripts/audit_v1_4_policy.py
P2,cpu_01_verified_20260921,passed_cpu_only,frozen_cpu_smoke,3c50b28adae72d67,versioned namespaces; see evidence,e9218ae1179df2922453e2c60288a6aae883cecd4f72bbfde1bdc9bdee58bd73,7d70cadf575f03f63e1305977a369446767b42719f5a8f3d749678c00a8937b9,9258ef6dbd0af0ca1893836bde8226000c06c52e5f98f9bfa6e0b312b566df97,21755,,,experiment_v1_4/results/audit_20260921_01/existing_cpu_verified.json,GPU smoke and P3 not run,GPU smoke and P3 reporting completion before production approval,python -m interp_v1_4.smoke --device cpu --output experiment_v1_4/smoke/cpu_01; python experiment_v1_4/results/audit_20260921_01/verify_existing_cpu.py
P2,resume_01_verified_20260921,passed_cpu_only,real_cli_persistent_resume,3c50b28adae72d67,versioned namespaces; see evidence,e9218ae1179df2922453e2c60288a6aae883cecd4f72bbfde1bdc9bdee58bd73,7d70cadf575f03f63e1305977a369446767b42719f5a8f3d749678c00a8937b9,9258ef6dbd0af0ca1893836bde8226000c06c52e5f98f9bfa6e0b312b566df97,21755,,,experiment_v1_4/smoke/resume_01/resume_equivalence.json,GPU smoke and P3 not run,GPU smoke and P3 reporting completion before production approval,python scripts/check_v1_4_resume.py --output experiment_v1_4/smoke/resume_01
P2,gpu_smoke_20260921_01,passed,frozen_cuda_smoke_return_verified,e74fb1dcf8112ca0,20260920 smoke; LM cell initialization 0,e9218ae1179df2922453e2c60288a6aae883cecd4f72bbfde1bdc9bdee58bd73,e46a0c157154be20ff1d6314fd29c5e42c962bb179eea5292ae93a77a5f8e268,9258ef6dbd0af0ca1893836bde8226000c06c52e5f98f9bfa6e0b312b566df97,21755,25.539956092834473,1456639488,experiment_v1_4/evidence/gpu_smoke_20260921_01/REPORT.md;experiment_v1_4/evidence/gpu_smoke_20260921_01/verification.json,P3 training and behavior gate not run,Complete P3 cell CI and extended behavior reporting,python -m interp_v1_4.smoke --device cuda --output SMOKE; python scripts/verify_v1_4_gpu_smoke.py ARCHIVE OUTPUT
P3,local_preparation_r3_20260921,passed_local_preparation,reporting_cpu_smoke_resume_colab_delivery,3c50b28adae72d67,bootstrap cell seeds in reporting contract; debug LM seed 0,e9218ae1179df2922453e2c60288a6aae883cecd4f72bbfde1bdc9bdee58bd73,29d2169addfaf32a5acdf12551f039fd32c6dda35ff591667f24461217cb1549,9258ef6dbd0af0ca1893836bde8226000c06c52e5f98f9bfa6e0b312b566df97,0,,,experiment_v1_4/results/p3_preparation_r3/verification.json,Production CUDA training and gate not run,Run r3 notebook GPU smoke then seed0 training and return complete-index evidence; no replication or test,See tests.log smoke.log resume.log bundle.log and REPORT.md
P3,seed0_64m_return_20260921,passed,seed0_training_selection_one_time_behavior_gate_verified,e74fb1dcf8112ca0,0,e9218ae1179df2922453e2c60288a6aae883cecd4f72bbfde1bdc9bdee58bd73,10ec3e72bf32862c252e8242df68786a13083efe1730b3e06d853eac2f4337e5,9258ef6dbd0af0ca1893836bde8226000c06c52e5f98f9bfa6e0b312b566df97,64005751,13069.187590255,972558848,experiment_v1_4/results/p3_audit_20260921_01/completion.json,elapsed_seconds is final resumed session only; test and replication not run,P4 seed 1 and 2 at same frozen budget and data order,scripts/verify_v1_4_evidence.py RUN --output run_verification.json; see audit REPORT.md
P4,local_preparation_r1_20260921,passed_local_preparation,seed1_seed2_cpu_smoke_resume_colab_delivery,3c50b28adae72d67,debug 1 and 2; production not run,e9218ae1179df2922453e2c60288a6aae883cecd4f72bbfde1bdc9bdee58bd73,7bd928b1b340a3fb84b8dc51fd1e22bf87fb50036cbac1e2fb70078d00aa15dc,9258ef6dbd0af0ca1893836bde8226000c06c52e5f98f9bfa6e0b312b566df97,0,,,experiment_v1_4/results/p4_preparation_r1/verification.json,P4 GPU replication and frozen test not run; local debug tokens do not count toward production,Run both P4 seed notebooks and return evidence; audit all validation decisions before final test delivery,See experiment_v1_4/results/p4_preparation_r1/LOCAL_COMMANDS.md
P4,seed1_64m_return_20260921,passed,replication_training_select_one_time_gate_return_audit; not full P4,e74fb1dcf8112ca0,1,e9218ae1179df2922453e2c60288a6aae883cecd4f72bbfde1bdc9bdee58bd73,7bd928b1b340a3fb84b8dc51fd1e22bf87fb50036cbac1e2fb70078d00aa15dc,9258ef6dbd0af0ca1893836bde8226000c06c52e5f98f9bfa6e0b312b566df97,64005751,3461.4558838159996,972558848,experiment_v1_4/results/p4_audit_20260921_01/seed1/completion.json,Frozen test pending; elapsed is final session; cross-runtime init bound in details,One-time frozen test for all three trained seeds,python experiment_v1_4/results/p4_audit_20260921_01/audit_returns.py; see saved session commands
P4,seed2_64m_return_20260921,passed,replication_training_select_one_time_gate_return_audit; not full P4,e74fb1dcf8112ca0,2,e9218ae1179df2922453e2c60288a6aae883cecd4f72bbfde1bdc9bdee58bd73,7bd928b1b340a3fb84b8dc51fd1e22bf87fb50036cbac1e2fb70078d00aa15dc,9258ef6dbd0af0ca1893836bde8226000c06c52e5f98f9bfa6e0b312b566df97,64005751,3653.0986921960002,972558848,experiment_v1_4/results/p4_audit_20260921_01/seed2/completion.json,Frozen test pending; elapsed is final session; cross-runtime init bound in details,One-time frozen test for all three trained seeds,python experiment_v1_4/results/p4_audit_20260921_01/audit_returns.py; see saved session commands
